Date,Price
12/12/80,0.13
12/15/80,0.12
12/16/80,0.11
12/17/80,0.12
12/18/80,0.12
12/19/80,0.13
12/22/80,0.13
12/23/80,0.14
12/24/80,0.15
12/26/80,0.16
12/29/80,0.16
12/30/80,0.16
12/31/80,0.15
1/2/81,0.15
1/5/81,0.15
1/6/81,0.14
1/7/81,0.14
1/8/81,0.14
1/9/81,0.14
1/12/81,0.14
1/13/81,0.14
1/14/81,0.14
1/15/81,0.14
1/16/81,0.14
1/19/81,0.15
1/20/81,0.14
1/21/81,0.15
1/22/81,0.15
1/23/81,0.15
1/26/81,0.14
1/27/81,0.14
1/28/81,0.14
1/29/81,0.13
1/30/81,0.13
2/2/81,0.12
2/3/81,0.12
2/4/81,0.13
2/5/81,0.13
2/6/81,0.13
2/9/81,0.12
2/10/81,0.12
2/11/81,0.12
2/12/81,0.12
2/13/81,0.11
2/17/81,0.12
2/18/81,0.12
2/19/81,0.11
2/20/81,0.11
2/23/81,0.11
2/24/81,0.11
2/25/81,0.11
2/26/81,0.11
2/27/81,0.12
3/2/81,0.12
3/3/81,0.12
3/4/81,0.12
3/5/81,0.12
3/6/81,0.11
3/9/81,0.11
3/10/81,0.10
3/11/81,0.10
3/12/81,0.10
3/13/81,0.10
3/16/81,0.10
3/17/81,0.11
3/18/81,0.11
3/19/81,0.11
3/20/81,0.11
3/23/81,0.12
3/24/81,0.12
3/25/81,0.12
3/26/81,0.11
3/27/81,0.11
3/30/81,0.11
3/31/81,0.11
4/1/81,0.11
4/2/81,0.12
4/3/81,0.12
4/6/81,0.12
4/7/81,0.11
4/8/81,0.12
4/9/81,0.12
4/10/81,0.12
4/13/81,0.12
4/14/81,0.12
4/15/81,0.12
4/16/81,0.11
4/20/81,0.11
4/21/81,0.12
4/22/81,0.13
4/23/81,0.13
4/24/81,0.13
4/27/81,0.13
4/28/81,0.13
4/29/81,0.12
4/30/81,0.13
5/1/81,0.13
5/4/81,0.13
5/5/81,0.13
5/6/81,0.12
5/7/81,0.12
5/8/81,0.13
5/11/81,0.12
5/12/81,0.12
5/13/81,0.12
5/14/81,0.12
5/15/81,0.12
5/18/81,0.13
5/19/81,0.12
5/20/81,0.13
5/21/81,0.13
5/22/81,0.14
5/26/81,0.14
5/27/81,0.15
5/28/81,0.15
5/29/81,0.15
6/1/81,0.15
6/2/81,0.14
6/3/81,0.14
6/4/81,0.14
6/5/81,0.14
6/8/81,0.14
6/9/81,0.14
6/10/81,0.14
6/11/81,0.15
6/12/81,0.15
6/15/81,0.14
6/16/81,0.14
6/17/81,0.14
6/18/81,0.14
6/19/81,0.14
6/22/81,0.13
6/23/81,0.13
6/24/81,0.13
6/25/81,0.13
6/26/81,0.13
6/29/81,0.13
6/30/81,0.12
7/1/81,0.11
7/2/81,0.11
7/6/81,0.11
7/7/81,0.11
7/8/81,0.12
7/9/81,0.11
7/10/81,0.10
7/13/81,0.10
7/14/81,0.11
7/15/81,0.11
7/16/81,0.11
7/17/81,0.12
7/20/81,0.11
7/21/81,0.11
7/22/81,0.10
7/23/81,0.10
7/24/81,0.11
7/27/81,0.11
7/28/81,0.11
7/29/81,0.11
7/30/81,0.11
7/31/81,0.11
8/3/81,0.11
8/4/81,0.11
8/5/81,0.12
8/6/81,0.11
8/7/81,0.11
8/10/81,0.11
8/11/81,0.11
8/12/81,0.11
8/13/81,0.10
8/14/81,0.10
8/17/81,0.10
8/18/81,0.10
8/19/81,0.10
8/20/81,0.10
8/21/81,0.09
8/24/81,0.08
8/25/81,0.09
8/26/81,0.08
8/27/81,0.09
8/28/81,0.09
8/31/81,0.09
9/1/81,0.10
9/2/81,0.10
9/3/81,0.09
9/4/81,0.09
9/8/81,0.09
9/9/81,0.09
9/10/81,0.09
9/11/81,0.09
9/14/81,0.08
9/15/81,0.08
9/16/81,0.08
9/17/81,0.08
9/18/81,0.08
9/21/81,0.08
9/22/81,0.08
9/23/81,0.07
9/24/81,0.07
9/25/81,0.06
9/28/81,0.06
9/29/81,0.07
9/30/81,0.07
10/1/81,0.07
10/2/81,0.07
10/5/81,0.08
10/6/81,0.08
10/7/81,0.08
10/8/81,0.08
10/9/81,0.08
10/12/81,0.09
10/13/81,0.09
10/14/81,0.08
10/15/81,0.08
10/16/81,0.08
10/19/81,0.08
10/20/81,0.09
10/21/81,0.09
10/22/81,0.09
10/23/81,0.08
10/26/81,0.08
10/27/81,0.09
10/28/81,0.09
10/29/81,0.09
10/30/81,0.09
11/2/81,0.09
11/3/81,0.09
11/4/81,0.09
11/5/81,0.08
11/6/81,0.08
11/9/81,0.08
11/10/81,0.08
11/11/81,0.08
11/12/81,0.09
11/13/81,0.08
11/16/81,0.08
11/17/81,0.08
11/18/81,0.08
11/19/81,0.08
11/20/81,0.08
11/23/81,0.08
11/24/81,0.08
11/25/81,0.08
11/27/81,0.08
11/30/81,0.08
12/1/81,0.08
12/2/81,0.08
12/3/81,0.08
12/4/81,0.08
12/7/81,0.09
12/8/81,0.08
12/9/81,0.08
12/10/81,0.08
12/11/81,0.08
12/14/81,0.08
12/15/81,0.08
12/16/81,0.09
12/17/81,0.09
12/18/81,0.10
12/21/81,0.10
12/22/81,0.10
12/23/81,0.10
12/24/81,0.10
12/28/81,0.09
12/29/81,0.09
12/30/81,0.10
12/31/81,0.10
1/4/82,0.10
1/5/82,0.09
1/6/82,0.09
1/7/82,0.08
1/8/82,0.09
1/11/82,0.08
1/12/82,0.08
1/13/82,0.08
1/14/82,0.08
1/15/82,0.09
1/18/82,0.09
1/19/82,0.09
1/20/82,0.09
1/21/82,0.09
1/22/82,0.09
1/25/82,0.09
1/26/82,0.09
1/27/82,0.09
1/28/82,0.09
1/29/82,0.09
2/1/82,0.09
2/2/82,0.09
2/3/82,0.09
2/4/82,0.09
2/5/82,0.09
2/8/82,0.08
2/9/82,0.08
2/10/82,0.08
2/11/82,0.08
2/12/82,0.08
2/16/82,0.08
2/17/82,0.08
2/18/82,0.08
2/19/82,0.08
2/22/82,0.08
2/23/82,0.08
2/24/82,0.08
2/25/82,0.08
2/26/82,0.08
3/1/82,0.08
3/2/82,0.08
3/3/82,0.08
3/4/82,0.08
3/5/82,0.07
3/8/82,0.07
3/9/82,0.07
3/10/82,0.07
3/11/82,0.07
3/12/82,0.07
3/15/82,0.07
3/16/82,0.07
3/17/82,0.06
3/18/82,0.07
3/19/82,0.07
3/22/82,0.08
3/23/82,0.08
3/24/82,0.07
3/25/82,0.07
3/26/82,0.07
3/29/82,0.07
3/30/82,0.08
3/31/82,0.08
4/1/82,0.08
4/2/82,0.08
4/5/82,0.08
4/6/82,0.08
4/7/82,0.08
4/8/82,0.08
4/12/82,0.08
4/13/82,0.07
4/14/82,0.07
4/15/82,0.07
4/16/82,0.08
4/19/82,0.07
4/20/82,0.07
4/21/82,0.07
4/22/82,0.07
4/23/82,0.07
4/26/82,0.07
4/27/82,0.07
4/28/82,0.07
4/29/82,0.07
4/30/82,0.07
5/3/82,0.07
5/4/82,0.07
5/5/82,0.07
5/6/82,0.07
5/7/82,0.07
5/10/82,0.07
5/11/82,0.07
5/12/82,0.07
5/13/82,0.07
5/14/82,0.07
5/17/82,0.06
5/18/82,0.06
5/19/82,0.06
5/20/82,0.06
5/21/82,0.06
5/24/82,0.06
5/25/82,0.06
5/26/82,0.06
5/27/82,0.06
5/28/82,0.06
6/1/82,0.06
6/2/82,0.06
6/3/82,0.06
6/4/82,0.06
6/7/82,0.06
6/8/82,0.06
6/9/82,0.06
6/10/82,0.06
6/11/82,0.06
6/14/82,0.06
6/15/82,0.06
6/16/82,0.06
6/17/82,0.06
6/18/82,0.06
6/21/82,0.06
6/22/82,0.06
6/23/82,0.06
6/24/82,0.06
6/25/82,0.06
6/28/82,0.06
6/29/82,0.06
6/30/82,0.06
7/1/82,0.06
7/2/82,0.05
7/6/82,0.05
7/7/82,0.05
7/8/82,0.05
7/9/82,0.05
7/12/82,0.05
7/13/82,0.06
7/14/82,0.06
7/15/82,0.06
7/16/82,0.06
7/19/82,0.06
7/20/82,0.06
7/21/82,0.06
7/22/82,0.06
7/23/82,0.06
7/26/82,0.06
7/27/82,0.06
7/28/82,0.06
7/29/82,0.06
7/30/82,0.06
8/2/82,0.06
8/3/82,0.06
8/4/82,0.06
8/5/82,0.06
8/6/82,0.05
8/9/82,0.06
8/10/82,0.06
8/11/82,0.06
8/12/82,0.06
8/13/82,0.06
8/16/82,0.06
8/17/82,0.06
8/18/82,0.06
8/19/82,0.06
8/20/82,0.07
8/23/82,0.07
8/24/82,0.07
8/25/82,0.08
8/26/82,0.08
8/27/82,0.08
8/30/82,0.08
8/31/82,0.08
9/1/82,0.08
9/2/82,0.08
9/3/82,0.08
9/7/82,0.08
9/8/82,0.08
9/9/82,0.08
9/10/82,0.08
9/13/82,0.08
9/14/82,0.08
9/15/82,0.08
9/16/82,0.08
9/17/82,0.08
9/20/82,0.08
9/21/82,0.08
9/22/82,0.08
9/23/82,0.08
9/24/82,0.08
9/27/82,0.08
9/28/82,0.08
9/29/82,0.08
9/30/82,0.08
10/1/82,0.08
10/4/82,0.08
10/5/82,0.08
10/6/82,0.09
10/7/82,0.10
10/8/82,0.10
10/11/82,0.11
10/12/82,0.10
10/13/82,0.10
10/14/82,0.11
10/15/82,0.10
10/18/82,0.10
10/19/82,0.11
10/20/82,0.11
10/21/82,0.12
10/22/82,0.12
10/25/82,0.11
10/26/82,0.11
10/27/82,0.11
10/28/82,0.11
10/29/82,0.11
11/1/82,0.12
11/2/82,0.13
11/3/82,0.14
11/4/82,0.14
11/5/82,0.13
11/8/82,0.13
11/9/82,0.13
11/10/82,0.14
11/11/82,0.15
11/12/82,0.14
11/15/82,0.14
11/16/82,0.13
11/17/82,0.14
11/18/82,0.14
11/19/82,0.14
11/22/82,0.13
11/23/82,0.13
11/24/82,0.13
11/26/82,0.13
11/29/82,0.13
11/30/82,0.14
12/1/82,0.15
12/2/82,0.15
12/3/82,0.14
12/6/82,0.15
12/7/82,0.15
12/8/82,0.15
12/9/82,0.14
12/10/82,0.13
12/13/82,0.13
12/14/82,0.13
12/15/82,0.13
12/16/82,0.13
12/17/82,0.13
12/20/82,0.13
12/21/82,0.14
12/22/82,0.14
12/23/82,0.14
12/27/82,0.15
12/28/82,0.15
12/29/82,0.14
12/30/82,0.13
12/31/82,0.13
1/3/83,0.13
1/4/83,0.13
1/5/83,0.14
1/6/83,0.13
1/7/83,0.12
1/10/83,0.13
1/11/83,0.13
1/12/83,0.14
1/13/83,0.14
1/14/83,0.15
1/17/83,0.15
1/18/83,0.15
1/19/83,0.15
1/20/83,0.17
1/21/83,0.17
1/24/83,0.16
1/25/83,0.16
1/26/83,0.17
1/27/83,0.18
1/28/83,0.18
1/31/83,0.18
2/1/83,0.19
2/2/83,0.19
2/3/83,0.20
2/4/83,0.20
2/7/83,0.19
2/8/83,0.19
2/9/83,0.19
2/10/83,0.20
2/11/83,0.21
2/14/83,0.21
2/15/83,0.20
2/16/83,0.20
2/17/83,0.20
2/18/83,0.20
2/22/83,0.21
2/23/83,0.21
2/24/83,0.21
2/25/83,0.21
2/28/83,0.20
3/1/83,0.21
3/2/83,0.21
3/3/83,0.20
3/4/83,0.20
3/7/83,0.20
3/8/83,0.19
3/9/83,0.19
3/10/83,0.19
3/11/83,0.19
3/14/83,0.18
3/15/83,0.19
3/16/83,0.19
3/17/83,0.19
3/18/83,0.19
3/21/83,0.20
3/22/83,0.20
3/23/83,0.19
3/24/83,0.19
3/25/83,0.19
3/28/83,0.19
3/29/83,0.20
3/30/83,0.20
3/31/83,0.19
4/4/83,0.18
4/5/83,0.18
4/6/83,0.18
4/7/83,0.18
4/8/83,0.18
4/11/83,0.19
4/12/83,0.19
4/13/83,0.20
4/14/83,0.20
4/15/83,0.20
4/18/83,0.21
4/19/83,0.21
4/20/83,0.23
4/21/83,0.23
4/22/83,0.23
4/25/83,0.22
4/26/83,0.22
4/27/83,0.22
4/28/83,0.22
4/29/83,0.23
5/2/83,0.22
5/3/83,0.22
5/4/83,0.23
5/5/83,0.24
5/6/83,0.25
5/9/83,0.24
5/10/83,0.24
5/11/83,0.24
5/12/83,0.24
5/13/83,0.24
5/16/83,0.23
5/17/83,0.23
5/18/83,0.23
5/19/83,0.24
5/20/83,0.25
5/23/83,0.26
5/24/83,0.27
5/25/83,0.27
5/26/83,0.27
5/27/83,0.27
5/31/83,0.26
6/1/83,0.26
6/2/83,0.26
6/3/83,0.27
6/6/83,0.28
6/7/83,0.27
6/8/83,0.27
6/9/83,0.27
6/10/83,0.26
6/13/83,0.26
6/14/83,0.25
6/15/83,0.24
6/16/83,0.26
6/17/83,0.25
6/20/83,0.24
6/21/83,0.24
6/22/83,0.25
6/23/83,0.24
6/24/83,0.24
6/27/83,0.22
6/28/83,0.21
6/29/83,0.22
6/30/83,0.22
7/1/83,0.22
7/5/83,0.21
7/6/83,0.21
7/7/83,0.21
7/8/83,0.21
7/11/83,0.21
7/12/83,0.21
7/13/83,0.21
7/14/83,0.21
7/15/83,0.20
7/18/83,0.20
7/19/83,0.20
7/20/83,0.18
7/21/83,0.19
7/22/83,0.20
7/25/83,0.19
7/26/83,0.17
7/27/83,0.16
7/28/83,0.15
7/29/83,0.16
8/1/83,0.15
8/2/83,0.15
8/3/83,0.16
8/4/83,0.15
8/5/83,0.15
8/8/83,0.15
8/9/83,0.15
8/10/83,0.15
8/11/83,0.15
8/12/83,0.15
8/15/83,0.15
8/16/83,0.15
8/17/83,0.15
8/18/83,0.15
8/19/83,0.15
8/22/83,0.15
8/23/83,0.14
8/24/83,0.14
8/25/83,0.14
8/26/83,0.14
8/29/83,0.14
8/30/83,0.15
8/31/83,0.17
9/1/83,0.16
9/2/83,0.17
9/6/83,0.18
9/7/83,0.15
9/8/83,0.14
9/9/83,0.14
9/12/83,0.14
9/13/83,0.14
9/14/83,0.14
9/15/83,0.13
9/16/83,0.13
9/19/83,0.14
9/20/83,0.14
9/21/83,0.14
9/22/83,0.15
9/23/83,0.11
9/26/83,0.11
9/27/83,0.10
9/28/83,0.10
9/29/83,0.10
9/30/83,0.10
10/3/83,0.10
10/4/83,0.10
10/5/83,0.10
10/6/83,0.10
10/7/83,0.09
10/10/83,0.09
10/11/83,0.09
10/12/83,0.09
10/13/83,0.10
10/14/83,0.10
10/17/83,0.09
10/18/83,0.09
10/19/83,0.10
10/20/83,0.09
10/21/83,0.09
10/24/83,0.09
10/25/83,0.09
10/26/83,0.09
10/27/83,0.09
10/28/83,0.09
10/31/83,0.10
11/1/83,0.10
11/2/83,0.10
11/3/83,0.10
11/4/83,0.09
11/7/83,0.09
11/8/83,0.08
11/9/83,0.09
11/10/83,0.09
11/11/83,0.09
11/14/83,0.09
11/15/83,0.09
11/16/83,0.09
11/17/83,0.09
11/18/83,0.09
11/21/83,0.10
11/22/83,0.10
11/23/83,0.09
11/25/83,0.09
11/28/83,0.09
11/29/83,0.09
11/30/83,0.09
12/1/83,0.09
12/2/83,0.09
12/5/83,0.09
12/6/83,0.09
12/7/83,0.09
12/8/83,0.10
12/9/83,0.10
12/12/83,0.10
12/13/83,0.10
12/14/83,0.10
12/15/83,0.11
12/16/83,0.11
12/19/83,0.11
12/20/83,0.10
12/21/83,0.11
12/22/83,0.11
12/23/83,0.11
12/27/83,0.11
12/28/83,0.11
12/29/83,0.11
12/30/83,0.11
1/3/84,0.11
1/4/84,0.12
1/5/84,0.13
1/6/84,0.12
1/9/84,0.12
1/10/84,0.12
1/11/84,0.13
1/12/84,0.12
1/13/84,0.12
1/16/84,0.12
1/17/84,0.13
1/18/84,0.13
1/19/84,0.13
1/20/84,0.13
1/23/84,0.13
1/24/84,0.12
1/25/84,0.12
1/26/84,0.12
1/27/84,0.12
1/30/84,0.11
1/31/84,0.11
2/1/84,0.11
2/2/84,0.11
2/3/84,0.11
2/6/84,0.10
2/7/84,0.11
2/8/84,0.10
2/9/84,0.11
2/10/84,0.11
2/13/84,0.11
2/14/84,0.11
2/15/84,0.11
2/16/84,0.11
2/17/84,0.11
2/21/84,0.12
2/22/84,0.12
2/23/84,0.12
2/24/84,0.12
2/27/84,0.12
2/28/84,0.11
2/29/84,0.12
3/1/84,0.12
3/2/84,0.12
3/5/84,0.12
3/6/84,0.11
3/7/84,0.12
3/8/84,0.12
3/9/84,0.12
3/12/84,0.12
3/13/84,0.12
3/14/84,0.12
3/15/84,0.12
3/16/84,0.12
3/19/84,0.12
3/20/84,0.12
3/21/84,0.12
3/22/84,0.11
3/23/84,0.11
3/26/84,0.11
3/27/84,0.11
3/28/84,0.11
3/29/84,0.11
3/30/84,0.11
4/2/84,0.11
4/3/84,0.11
4/4/84,0.11
4/5/84,0.11
4/6/84,0.10
4/9/84,0.10
4/10/84,0.11
4/11/84,0.11
4/12/84,0.11
4/13/84,0.11
4/16/84,0.12
4/17/84,0.12
4/18/84,0.13
4/19/84,0.13
4/23/84,0.13
4/24/84,0.12
4/25/84,0.12
4/26/84,0.13
4/27/84,0.13
4/30/84,0.14
5/1/84,0.15
5/2/84,0.15
5/3/84,0.14
5/4/84,0.13
5/7/84,0.14
5/8/84,0.15
5/9/84,0.15
5/10/84,0.15
5/11/84,0.14
5/14/84,0.14
5/15/84,0.14
5/16/84,0.14
5/17/84,0.13
5/18/84,0.13
5/21/84,0.14
5/22/84,0.14
5/23/84,0.14
5/24/84,0.13
5/25/84,0.13
5/29/84,0.13
5/30/84,0.13
5/31/84,0.13
6/1/84,0.14
6/4/84,0.13
6/5/84,0.12
6/6/84,0.13
6/7/84,0.13
6/8/84,0.13
6/11/84,0.13
6/12/84,0.13
6/13/84,0.13
6/14/84,0.13
6/15/84,0.13
6/18/84,0.13
6/19/84,0.13
6/20/84,0.14
6/21/84,0.13
6/22/84,0.13
6/25/84,0.12
6/26/84,0.12
6/27/84,0.11
6/28/84,0.12
6/29/84,0.12
7/2/84,0.11
7/3/84,0.11
7/5/84,0.11
7/6/84,0.11
7/9/84,0.12
7/10/84,0.12
7/11/84,0.12
7/12/84,0.12
7/13/84,0.12
7/16/84,0.11
7/17/84,0.11
7/18/84,0.11
7/19/84,0.11
7/20/84,0.11
7/23/84,0.11
7/24/84,0.12
7/25/84,0.12
