Date,Price
5/15/97,0.10
5/16/97,0.09
5/19/97,0.09
5/20/97,0.08
5/21/97,0.07
5/22/97,0.07
5/23/97,0.08
5/27/97,0.08
5/28/97,0.08
5/29/97,0.08
5/30/97,0.08
6/2/97,0.08
6/3/97,0.07
6/4/97,0.07
6/5/97,0.08
6/6/97,0.08
6/9/97,0.08
6/10/97,0.08
6/11/97,0.08
6/12/97,0.08
6/13/97,0.08
6/16/97,0.08
6/17/97,0.08
6/18/97,0.08
6/19/97,0.08
6/20/97,0.08
6/23/97,0.08
6/24/97,0.08
6/25/97,0.08
6/26/97,0.08
6/27/97,0.07
6/30/97,0.08
7/1/97,0.08
7/2/97,0.08
7/3/97,0.10
7/7/97,0.10
7/8/97,0.12
7/9/97,0.12
7/10/97,0.13
7/11/97,0.11
7/14/97,0.11
7/15/97,0.12
7/16/97,0.12
7/17/97,0.11
7/18/97,0.11
7/21/97,0.11
7/22/97,0.11
7/23/97,0.11
7/24/97,0.11
7/25/97,0.11
7/28/97,0.12
7/29/97,0.12
7/30/97,0.12
7/31/97,0.12
8/1/97,0.12
8/4/97,0.12
8/5/97,0.11
8/6/97,0.11
8/7/97,0.11
8/8/97,0.11
8/11/97,0.12
8/12/97,0.11
8/13/97,0.11
8/14/97,0.11
8/15/97,0.11
8/18/97,0.10
8/19/97,0.11
8/20/97,0.11
8/21/97,0.11
8/22/97,0.11
8/25/97,0.11
8/26/97,0.12
8/27/97,0.12
8/28/97,0.12
8/29/97,0.12
9/2/97,0.12
9/3/97,0.12
9/4/97,0.13
9/5/97,0.13
9/8/97,0.15
9/9/97,0.16
9/10/97,0.17
9/11/97,0.16
9/12/97,0.18
9/15/97,0.15
9/16/97,0.17
9/17/97,0.17
9/18/97,0.16
9/19/97,0.20
9/22/97,0.23
9/23/97,0.23
9/24/97,0.22
9/25/97,0.20
9/26/97,0.21
9/29/97,0.20
9/30/97,0.22
10/1/97,0.20
10/2/97,0.20
10/3/97,0.20
10/6/97,0.21
10/7/97,0.20
10/8/97,0.20
10/9/97,0.19
10/10/97,0.20
10/13/97,0.20
10/14/97,0.20
10/15/97,0.20
10/16/97,0.18
10/17/97,0.18
10/20/97,0.19
10/21/97,0.22
10/22/97,0.23
10/23/97,0.23
10/24/97,0.25
10/27/97,0.21
10/28/97,0.25
10/29/97,0.27
10/30/97,0.26
10/31/97,0.25
11/3/97,0.25
11/4/97,0.25
11/5/97,0.24
11/6/97,0.23
11/7/97,0.22
11/10/97,0.21
11/11/97,0.20
11/12/97,0.19
11/13/97,0.19
11/14/97,0.21
11/17/97,0.22
11/18/97,0.22
11/19/97,0.23
11/20/97,0.23
11/21/97,0.22
11/24/97,0.21
11/25/97,0.21
11/26/97,0.21
11/28/97,0.21
12/1/97,0.21
12/2/97,0.21
12/3/97,0.22
12/4/97,0.23
12/5/97,0.23
12/8/97,0.24
12/9/97,0.23
12/10/97,0.23
12/11/97,0.23
12/12/97,0.23
12/15/97,0.23
12/16/97,0.22
12/17/97,0.22
12/18/97,0.21
12/19/97,0.23
12/22/97,0.23
12/23/97,0.23
12/24/97,0.23
12/26/97,0.23
12/29/97,0.24
12/30/97,0.24
12/31/97,0.25
1/2/98,0.25
1/5/98,0.24
1/6/98,0.24
1/7/98,0.24
1/8/98,0.23
1/9/98,0.21
1/12/98,0.22
1/13/98,0.23
1/14/98,0.24
1/15/98,0.25
1/16/98,0.24
1/20/98,0.25
1/21/98,0.25
1/22/98,0.26
1/23/98,0.25
1/26/98,0.24
1/27/98,0.24
1/28/98,0.24
1/29/98,0.25
1/30/98,0.25
2/2/98,0.26
2/3/98,0.26
2/4/98,0.25
2/5/98,0.25
2/6/98,0.25
2/9/98,0.24
2/10/98,0.27
2/11/98,0.26
2/12/98,0.26
2/13/98,0.26
2/17/98,0.26
2/18/98,0.25
2/19/98,0.26
2/20/98,0.26
2/23/98,0.27
2/24/98,0.27
2/25/98,0.27
2/26/98,0.30
2/27/98,0.32
3/2/98,0.32
3/3/98,0.30
3/4/98,0.31
3/5/98,0.31
3/6/98,0.32
3/9/98,0.35
3/10/98,0.35
3/11/98,0.33
3/12/98,0.33
3/13/98,0.33
3/16/98,0.33
3/17/98,0.33
3/18/98,0.36
3/19/98,0.35
3/20/98,0.35
3/23/98,0.35
3/24/98,0.35
3/25/98,0.34
3/26/98,0.34
3/27/98,0.35
3/30/98,0.36
3/31/98,0.36
4/1/98,0.38
4/2/98,0.40
4/3/98,0.39
4/6/98,0.37
4/7/98,0.36
4/8/98,0.37
4/9/98,0.40
4/13/98,0.39
4/14/98,0.40
4/15/98,0.40
4/16/98,0.41
4/17/98,0.40
4/20/98,0.39
4/21/98,0.39
4/22/98,0.36
4/23/98,0.34
4/24/98,0.35
4/27/98,0.34
4/28/98,0.40
4/29/98,0.40
4/30/98,0.38
5/1/98,0.39
5/4/98,0.40
5/5/98,0.39
5/6/98,0.38
5/7/98,0.38
5/8/98,0.38
5/11/98,0.36
5/12/98,0.38
5/13/98,0.39
5/14/98,0.38
5/15/98,0.37
5/18/98,0.37
5/19/98,0.38
5/20/98,0.37
5/21/98,0.37
5/22/98,0.36
5/26/98,0.34
5/27/98,0.36
5/28/98,0.36
5/29/98,0.37
6/1/98,0.36
6/2/98,0.36
6/3/98,0.35
6/4/98,0.37
6/5/98,0.37
6/8/98,0.39
6/9/98,0.43
6/10/98,0.45
6/11/98,0.52
6/12/98,0.51
6/15/98,0.55
6/16/98,0.61
6/17/98,0.66
6/18/98,0.60
6/19/98,0.63
6/22/98,0.68
6/23/98,0.77
6/24/98,0.83
6/25/98,0.83
6/26/98,0.79
6/29/98,0.82
6/30/98,0.83
7/1/98,0.95
7/2/98,1.03
7/6/98,1.16
7/7/98,1.02
7/8/98,0.89
7/9/98,0.88
7/10/98,0.83
7/13/98,0.90
7/14/98,0.96
7/15/98,0.94
7/16/98,0.94
7/17/98,1.00
7/20/98,1.15
7/21/98,1.10
7/22/98,1.12
7/23/98,1.06
7/24/98,1.04
7/27/98,1.05
7/28/98,0.99
7/29/98,0.90
7/30/98,0.95
7/31/98,0.92
8/3/98,0.90
8/4/98,0.92
8/5/98,0.88
8/6/98,0.91
8/7/98,0.97
8/10/98,1.01
8/11/98,1.03
8/12/98,1.09
8/13/98,1.06
8/14/98,1.02
8/17/98,1.00
8/18/98,1.07
8/19/98,1.07
8/20/98,1.08
8/21/98,1.08
8/24/98,1.12
8/25/98,1.10
8/26/98,1.06
8/27/98,0.99
8/28/98,0.88
8/31/98,0.70
9/1/98,0.67
9/2/98,0.73
9/3/98,0.72
9/4/98,0.72
9/8/98,0.77
9/9/98,0.70
9/10/98,0.66
9/11/98,0.63
9/14/98,0.61
9/15/98,0.61
9/16/98,0.70
9/17/98,0.64
9/18/98,0.66
