Date,Price
3/13/86,0.10
3/14/86,0.10
3/17/86,0.10
3/18/86,0.10
3/19/86,0.10
3/20/86,0.10
3/21/86,0.09
3/24/86,0.09
3/25/86,0.09
3/26/86,0.09
3/27/86,0.10
3/31/86,0.10
4/1/86,0.09
4/2/86,0.10
4/3/86,0.10
4/4/86,0.10
4/7/86,0.09
4/8/86,0.10
4/9/86,0.10
4/10/86,0.10
4/11/86,0.10
4/14/86,0.10
4/15/86,0.10
4/16/86,0.10
4/17/86,0.11
4/18/86,0.10
4/21/86,0.10
4/22/86,0.10
4/23/86,0.10
4/24/86,0.11
4/25/86,0.12
4/28/86,0.12
4/29/86,0.11
4/30/86,0.11
5/1/86,0.11
5/2/86,0.11
5/5/86,0.11
5/6/86,0.11
5/7/86,0.11
5/8/86,0.11
5/9/86,0.11
5/12/86,0.11
5/13/86,0.11
5/14/86,0.11
5/15/86,0.11
5/16/86,0.11
5/19/86,0.11
5/20/86,0.11
5/21/86,0.11
5/22/86,0.11
5/23/86,0.11
5/27/86,0.11
5/28/86,0.11
5/29/86,0.12
5/30/86,0.12
6/2/86,0.12
6/3/86,0.12
6/4/86,0.12
6/5/86,0.12
6/6/86,0.12
6/9/86,0.11
6/10/86,0.11
6/11/86,0.11
6/12/86,0.11
6/13/86,0.11
6/16/86,0.11
6/17/86,0.11
6/18/86,0.11
6/19/86,0.11
6/20/86,0.11
6/23/86,0.11
6/24/86,0.11
6/25/86,0.11
6/26/86,0.10
6/27/86,0.10
6/30/86,0.11
7/1/86,0.11
7/2/86,0.11
7/3/86,0.11
7/7/86,0.10
7/8/86,0.10
7/9/86,0.10
7/10/86,0.09
7/11/86,0.10
7/14/86,0.10
7/15/86,0.10
7/16/86,0.10
7/17/86,0.10
7/18/86,0.10
7/21/86,0.10
7/22/86,0.11
7/23/86,0.10
7/24/86,0.11
7/25/86,0.11
7/28/86,0.11
7/29/86,0.10
7/30/86,0.10
7/31/86,0.10
8/1/86,0.10
8/4/86,0.10
8/5/86,0.10
8/6/86,0.10
8/7/86,0.10
8/8/86,0.10
8/11/86,0.10
8/12/86,0.10
8/13/86,0.10
8/14/86,0.11
8/15/86,0.11
8/18/86,0.11
8/19/86,0.11
8/20/86,0.10
8/21/86,0.10
8/22/86,0.10
8/25/86,0.10
8/26/86,0.10
8/27/86,0.10
8/28/86,0.10
8/29/86,0.10
9/2/86,0.10
9/3/86,0.09
9/4/86,0.10
9/5/86,0.11
9/8/86,0.11
9/9/86,0.11
9/10/86,0.11
9/11/86,0.10
9/12/86,0.10
9/15/86,0.10
9/16/86,0.10
9/17/86,0.10
9/18/86,0.10
