Date,Price
6/29/10,1.59
6/30/10,1.59
7/1/10,1.46
7/2/10,1.28
7/6/10,1.07
7/7/10,1.05
7/8/10,1.16
7/9/10,1.16
7/12/10,1.14
7/13/10,1.21
7/14/10,1.32
7/15/10,1.33
7/16/10,1.38
7/19/10,1.46
7/20/10,1.35
7/21/10,1.35
7/22/10,1.40
7/23/10,1.42
7/26/10,1.40
7/27/10,1.37
7/28/10,1.38
7/29/10,1.36
7/30/10,1.33
8/2/10,1.39
8/3/10,1.46
8/4/10,1.42
8/5/10,1.36
8/6/10,1.31
8/9/10,1.31
8/10/10,1.27
8/11/10,1.19
8/12/10,1.17
8/13/10,1.22
8/16/10,1.25
8/17/10,1.28
8/18/10,1.25
8/19/10,1.25
8/20/10,1.27
8/23/10,1.34
8/24/10,1.28
8/25/10,1.33
8/26/10,1.32
8/27/10,1.31
8/30/10,1.32
8/31/10,1.30
9/1/10,1.36
9/2/10,1.40
9/3/10,1.40
9/7/10,1.37
9/8/10,1.39
9/9/10,1.38
9/10/10,1.34
9/13/10,1.38
9/14/10,1.41
9/15/10,1.47
9/16/10,1.40
9/17/10,1.35
9/20/10,1.40
9/21/10,1.38
9/22/10,1.32
9/23/10,1.30
9/24/10,1.34
9/27/10,1.37
9/28/10,1.43
9/29/10,1.47
9/30/10,1.36
10/1/10,1.37
10/4/10,1.40
10/5/10,1.41
10/6/10,1.36
10/7/10,1.36
10/8/10,1.36
10/11/10,1.35
10/12/10,1.35
10/13/10,1.37
10/14/10,1.38
10/15/10,1.37
10/18/10,1.35
10/19/10,1.34
10/20/10,1.38
10/21/10,1.38
10/22/10,1.38
10/25/10,1.39
10/26/10,1.42
10/27/10,1.40
10/28/10,1.41
10/29/10,1.46
11/1/10,1.43
11/2/10,1.42
11/3/10,1.45
11/4/10,1.66
11/5/10,1.63
11/8/10,1.67
11/9/10,1.64
11/10/10,1.96
11/11/10,1.87
11/12/10,1.99
11/15/10,2.05
11/16/10,1.98
11/17/10,1.97
11/18/10,1.99
11/19/10,2.07
11/22/10,2.23
11/23/10,2.30
11/24/10,2.36
11/26/10,2.35
11/29/10,2.29
11/30/10,2.36
12/1/10,2.29
12/2/10,2.16
12/3/10,2.10
12/6/10,2.02
12/7/10,2.10
12/8/10,2.16
12/9/10,2.14
12/10/10,2.10
12/13/10,2.04
12/14/10,1.90
12/15/10,1.97
12/16/10,2.05
12/17/10,2.09
12/20/10,2.11
12/21/10,2.15
12/22/10,2.18
12/23/10,2.01
12/27/10,1.70
12/28/10,1.76
12/29/10,1.85
12/30/10,1.77
12/31/10,1.78
1/3/11,1.77
1/4/11,1.78
1/5/11,1.79
1/6/11,1.86
1/7/11,1.88
1/10/11,1.90
1/11/11,1.80
1/12/11,1.80
1/13/11,1.75
1/14/11,1.72
1/18/11,1.71
1/19/11,1.60
1/20/11,1.51
1/21/11,1.54
1/24/11,1.63
1/25/11,1.65
1/26/11,1.65
1/27/11,1.66
1/28/11,1.60
1/31/11,1.61
2/1/11,1.59
2/2/11,1.60
2/3/11,1.58
2/4/11,1.56
2/7/11,1.54
2/8/11,1.63
2/9/11,1.55
2/10/11,1.55
2/11/11,1.55
2/14/11,1.54
2/15/11,1.52
2/16/11,1.65
2/17/11,1.57
2/18/11,1.55
2/22/11,1.46
2/23/11,1.46
2/24/11,1.50
2/25/11,1.57
2/28/11,1.59
3/1/11,1.60
3/2/11,1.60
3/3/11,1.62
3/4/11,1.66
3/7/11,1.66
3/8/11,1.64
3/9/11,1.65
3/10/11,1.60
3/11/11,1.60
3/14/11,1.55
3/15/11,1.53
3/16/11,1.52
3/17/11,1.52
3/18/11,1.53
3/21/11,1.52
3/22/11,1.48
3/23/11,1.48
3/24/11,1.49
3/25/11,1.52
3/28/11,1.55
3/29/11,1.59
3/30/11,1.58
3/31/11,1.85
4/1/11,1.78
4/4/11,1.72
4/5/11,1.78
4/6/11,1.77
4/7/11,1.82
4/8/11,1.77
4/11/11,1.68
4/12/11,1.64
4/13/11,1.66
4/14/11,1.68
4/15/11,1.71
4/18/11,1.67
4/19/11,1.68
4/20/11,1.72
4/21/11,1.78
4/25/11,1.76
4/26/11,1.80
4/27/11,1.81
4/28/11,1.84
4/29/11,1.84
5/2/11,1.83
5/3/11,1.79
5/4/11,1.78
5/5/11,1.76
5/6/11,1.81
5/9/11,1.86
5/10/11,1.89
5/11/11,1.80
5/12/11,1.84
5/13/11,1.84
5/16/11,1.77
5/17/11,1.73
5/18/11,1.76
5/19/11,1.88
5/20/11,1.86
5/23/11,1.79
5/24/11,1.78
5/25/11,1.93
5/26/11,1.97
5/27/11,1.97
5/31/11,2.01
6/1/11,1.90
6/2/11,1.92
6/3/11,2.01
6/6/11,1.91
6/7/11,1.89
6/8/11,1.81
6/9/11,1.84
6/10/11,1.86
6/13/11,1.90
6/14/11,1.91
6/15/11,1.82
6/16/11,1.77
6/17/11,1.77
6/20/11,1.73
6/21/11,1.84
6/22/11,1.81
6/23/11,1.85
6/24/11,1.84
6/27/11,1.83
6/28/11,1.87
6/29/11,1.89
6/30/11,1.94
7/1/11,1.93
7/5/11,1.94
7/6/11,1.93
7/7/11,1.98
7/8/11,1.92
7/11/11,1.89
7/12/11,1.88
7/13/11,1.91
7/14/11,1.84
7/15/11,1.84
7/18/11,1.82
7/19/11,1.86
7/20/11,1.91
7/21/11,1.91
7/22/11,1.95
7/25/11,1.90
7/26/11,1.87
7/27/11,1.84
7/28/11,1.88
7/29/11,1.88
8/1/11,1.92
8/2/11,1.82
8/3/11,1.81
8/4/11,1.65
8/5/11,1.62
8/8/11,1.58
8/9/11,1.67
8/10/11,1.59
8/11/11,1.69
8/12/11,1.75
8/15/11,1.75
8/16/11,1.74
8/17/11,1.72
8/18/11,1.62
8/19/11,1.49
8/22/11,1.46
8/23/11,1.53
8/24/11,1.59
8/25/11,1.54
8/26/11,1.58
8/29/11,1.65
8/30/11,1.64
8/31/11,1.65
9/1/11,1.60
9/2/11,1.54
9/6/11,1.53
9/7/11,1.59
9/8/11,1.57
9/9/11,1.53
9/12/11,1.53
9/13/11,1.61
9/14/11,1.62
9/15/11,1.65
9/16/11,1.72
9/19/11,1.72
9/20/11,1.73
9/21/11,1.72
9/22/11,1.71
9/23/11,1.76
9/26/11,1.70
9/27/11,1.75
9/28/11,1.64
9/29/11,1.61
9/30/11,1.63
10/3/11,1.58
10/4/11,1.58
10/5/11,1.69
10/6/11,1.80
10/7/11,1.80
10/10/11,1.86
10/11/11,1.84
10/12/11,1.85
10/13/11,1.86
10/14/11,1.87
10/17/11,1.83
10/18/11,1.89
10/19/11,1.84
10/20/11,1.82
10/21/11,1.87
10/24/11,1.90
10/25/11,1.88
10/26/11,1.87
10/27/11,1.92
10/28/11,1.99
10/31/11,1.96
11/1/11,1.93
11/2/11,1.91
11/3/11,2.16
11/4/11,2.15
11/7/11,2.08
11/8/11,2.12
11/9/11,2.06
11/10/11,2.09
11/11/11,2.24
11/14/11,2.21
11/15/11,2.26
11/16/11,2.33
11/17/11,2.25
11/18/11,2.17
11/21/11,2.12
11/22/11,2.14
11/23/11,2.10
11/25/11,2.11
11/28/11,2.17
11/29/11,2.12
11/30/11,2.18
12/1/11,2.17
12/2/11,2.22
12/5/11,2.29
12/6/11,2.32
12/7/11,2.28
12/8/11,2.06
12/9/11,2.07
12/12/11,2.03
12/13/11,1.96
12/14/11,1.90
12/15/11,1.91
12/16/11,1.87
12/19/11,1.85
12/20/11,1.86
12/21/11,1.84
12/22/11,1.85
12/23/11,1.86
12/27/11,1.90
12/28/11,1.90
12/29/11,1.92
12/30/11,1.90
1/3/12,1.87
1/4/12,1.85
1/5/12,1.81
1/6/12,1.79
1/9/12,1.82
1/10/12,1.84
1/11/12,1.88
1/12/12,1.88
1/13/12,1.52
1/17/12,1.77
1/18/12,1.79
1/19/12,1.78
1/20/12,1.77
1/23/12,1.78
1/24/12,1.83
1/25/12,1.86
1/26/12,1.93
1/27/12,1.96
1/30/12,1.97
1/31/12,1.94
2/1/12,1.97
2/2/12,2.02
2/3/12,2.08
2/6/12,2.12
2/7/12,2.11
2/8/12,2.13
2/9/12,2.17
2/10/12,2.07
2/13/12,2.10
2/14/12,2.21
2/15/12,2.24
2/16/12,2.28
2/17/12,2.33
2/21/12,2.30
2/22/12,2.28
2/23/12,2.30
2/24/12,2.25
2/27/12,2.24
2/28/12,2.25
2/29/12,2.23
3/1/12,2.29
3/2/12,2.27
3/5/12,2.25
3/6/12,2.21
3/7/12,2.21
3/8/12,2.20
3/9/12,2.32
3/12/12,2.40
3/13/12,2.41
3/14/12,2.35
3/15/12,2.33
3/16/12,2.35
3/19/12,2.33
3/20/12,2.33
3/21/12,2.34
3/22/12,2.29
3/23/12,2.27
3/26/12,2.49
3/27/12,2.53
3/28/12,2.52
3/29/12,2.49
3/30/12,2.48
4/2/12,2.44
4/3/12,2.53
4/4/12,2.33
4/5/12,2.30
4/9/12,2.21
4/10/12,2.16
4/11/12,2.21
4/12/12,2.23
4/13/12,2.24
4/16/12,2.15
4/17/12,2.15
4/18/12,2.18
4/19/12,2.21
4/20/12,2.21
4/23/12,2.13
4/24/12,2.12
4/25/12,2.19
4/26/12,2.23
4/27/12,2.22
4/30/12,2.21
5/1/12,2.25
5/2/12,2.26
5/3/12,2.16
5/4/12,2.12
5/7/12,2.16
5/8/12,2.01
5/9/12,2.00
5/10/12,2.20
5/11/12,2.15
5/14/12,2.00
5/15/12,1.96
5/16/12,1.95
5/17/12,1.90
5/18/12,1.84
5/21/12,1.92
5/22/12,2.05
5/23/12,2.07
5/24/12,2.02
5/25/12,1.99
5/29/12,2.11
5/30/12,2.03
5/31/12,1.97
6/1/12,1.88
6/4/12,1.86
6/5/12,1.86
6/6/12,1.95
6/7/12,1.93
6/8/12,2.01
6/11/12,1.94
6/12/12,1.98
6/13/12,1.98
6/14/12,1.96
6/15/12,1.99
6/18/12,2.12
6/19/12,2.14
6/20/12,2.25
6/21/12,2.15
6/22/12,2.25
6/25/12,2.21
6/26/12,2.11
6/27/12,2.13
6/28/12,2.09
6/29/12,2.09
7/2/12,2.03
7/3/12,2.04
7/5/12,2.08
7/6/12,2.07
7/9/12,2.10
7/10/12,2.08
7/11/12,2.10
7/12/12,2.18
7/13/12,2.28
7/16/12,2.40
7/17/12,2.22
7/18/12,2.14
7/19/12,2.15
7/20/12,2.12
7/23/12,2.04
7/24/12,1.99
7/25/12,1.93
7/26/12,1.88
7/27/12,1.97
7/30/12,1.82
7/31/12,1.83
8/1/12,1.75
8/2/12,1.74
8/3/12,1.82
8/6/12,1.88
8/7/12,2.02
8/8/12,1.94
8/9/12,1.96
8/10/12,2.00
8/13/12,2.08
8/14/12,1.96
8/15/12,1.96
8/16/12,2.02
8/17/12,2.00
8/20/12,1.97
8/21/12,1.94
8/22/12,2.00
8/23/12,2.05
8/24/12,1.97
8/27/12,1.89
8/28/12,1.91
8/29/12,1.89
8/30/12,1.89
8/31/12,1.90
9/4/12,1.88
9/5/12,1.86
9/6/12,1.90
9/7/12,1.96
9/10/12,1.82
9/11/12,1.85
9/12/12,1.89
9/13/12,1.97
9/14/12,2.03
9/17/12,2.17
9/18/12,2.09
9/19/12,2.07
9/20/12,2.06
9/21/12,2.00
9/24/12,2.04
9/25/12,1.84
9/26/12,1.84
9/27/12,1.90
9/28/12,1.95
10/1/12,1.94
10/2/12,1.99
10/3/12,1.95
10/4/12,1.96
10/5/12,1.93
10/8/12,1.95
10/9/12,1.89
10/10/12,1.89
10/11/12,1.89
10/12/12,1.84
10/15/12,1.82
10/16/12,1.87
10/17/12,1.92
10/18/12,1.87
10/19/12,1.85
10/22/12,1.86
10/23/12,1.89
10/24/12,1.83
10/25/12,1.83
10/26/12,1.83
10/31/12,1.88
11/1/12,1.95
11/2/12,1.93
11/5/12,2.10
11/6/12,2.08
11/7/12,2.10
11/8/12,2.09
11/9/12,2.02
11/12/12,2.07
11/13/12,2.11
11/14/12,2.09
11/15/12,2.05
11/16/12,2.12
11/19/12,2.19
11/20/12,2.20
11/21/12,2.16
11/23/12,2.14
11/26/12,2.15
11/27/12,2.14
11/28/12,2.22
11/29/12,2.25
11/30/12,2.25
12/3/12,2.31
12/4/12,2.26
12/5/12,2.25
12/6/12,2.26
12/7/12,2.28
12/10/12,2.30
12/11/12,2.35
12/12/12,2.35
12/13/12,2.24
12/14/12,2.25
12/17/12,2.29
12/18/12,2.31
12/19/12,2.31
12/20/12,2.30
12/21/12,2.27
12/24/12,2.29
12/26/12,2.24
12/27/12,2.25
12/28/12,2.21
12/31/12,2.26
1/2/13,2.36
1/3/13,2.32
